Name,Altitude [m],Summit Latitude,Summit Longitude,Season,Type,Grade,Distance [km],Duration [h],Elevation Gain [m],GPX File,Project,GPXName
,,,,autumn,bike,,109.0,5.5,1540,Jour_1_Morges_à_Orsière,Morges to Como,Jour 1 Morges à Orsière
,,,,autumn,bike,,131.0,6.5,1930,Giorno_2_Aosta_a_Ivrea,Morges to Como,Giorno 2 Aosta a Ivrea
,,,,autumn,bike,,135.0,5.65,930,Giorno_3_Ivrea_a_Cannero_Riviera,Morges to Como,Giorno 3 Ivrea a Cannero Riviera
,,,,autumn,bike,,133.0,6.33,1410,Giorno_4_Cannero_Riviera_a_Como,Morges to Como,Giorno 4 Cannero Riviera a Como
,,,,autumn,bike,,17.0,1.33,160,Giorno_5_Como,Morges to Como,Giorno 5 Como
,,,,autumn,bike,,180.8,7.8,2187,Étape_1_Vienne_à_Großreifling,Wien to Innsbruck,Étape 1 Vienne à Großreifling
,,,,autumn,bike,,188.8,8.5,2271,Étape_2_Großreifling_à_Bruck_an_der_Großglocknerstraße,Wien to Innsbruck,Étape 2 Großreifling à Bruck an der Großglocknerstraße
,,,,autumn,bike,,87.7,5.5,2489,Étape_3_Bruck_an_der_Großglocknerstraße_à_Lienz,Wien to Innsbruck,Étape 3 Bruck an der Großglocknerstraße à Lienz
,,,,autumn,bike,,104.6,4.75,1300,Étape_4_Lienz_à_Cibiana_di_Cadore,Wien to Innsbruck,Étape 4 Lienz à Cibiana di Cadore
,,,,autumn,bike,,26.6,1.5,476,Rest_au_day,Wien to Innsbruck,Rest au day
,,,,autumn,bike,,93.9,5.33,2870,Étape_5_Giro_delle_Dolomiti,Wien to Innsbruck,Étape 5 Giro delle Dolomiti
,,,,autumn,bike,,25.85,1.5,510,Étape_6_1_Cibiana_di_Cadore_à_Cortina_d_Ampezzo,Wien to Innsbruck,Étape 6 1 Cibiana di Cadore à Cortina d Ampezzo
,,,,autumn,bike,,119.7,5.3,1350,Étape_6_2_Cortina_d_Ampezzo_à_Vipiteno,Wien to Innsbruck,Étape 6 2 Cortina d Ampezzo à Vipiteno
,,,,autumn,bike,,49.8,1.83,378,Étape_7_Vipiteno_à_Innsbruck,Wien to Innsbruck,Étape 7 Vipiteno à Innsbruck
