Name,Altitude [m],Summit Latitude,Summit Longitude,Season,Type,Grade,Distance [km],Duration [h],Elevation Gain [m],GPX File,Project,GPXName
Dent d'oche,2222,46.35408255678847,6.731091920716606,Autumn,Hike,T4,13.6,5.3,1379.0,f,Proxima,f
Cornette de Bise,2432,46.33352064091501,6.783467026072189,Summer,Mountaineering,,16.8,4.9,1362.0,Les_Cornettes_de_Bise,Proxima,Les Cornettes de Bise
Cornette de Bise,2432,46.33352064091502,6.78346702607219,Winter,Snow Hike,,14.6,4.3,1410.0,f,4000,f
Mont Gardy,2201,46.35104051593252,6.800183369977716,Summer,Hike,T5/F,14.7,6,1450.0,f,4000,f
Grande Jumelle,2215,46.352664696483046,6.8133591473731325,Summer,Hike,T5/F,14.7,6,1450.0,f,4000,f
Grande Jumelle,2215,46.352664696483046,6.8133591473731325,Autumn,Hike,F,10.3,2021-03-03 00:00:00,994.0,f,4000,f
Petite Jumelle,2182,46.35328033537899,6.816464204272272,Summer,Mountaineering,PD,,,,,Annecy,
Le Grammont,2172,46.358574985358366,6.820794927974556,Winter,Snow Hike,,13.6,4.1,1105.0,Grammont,Annecy,Grammont
Le Grammont,2172,46.358574985358366,6.820794927974557,Summer,Hike,,14.4,5,1150.0,Grammont_&_Alamont,Annecy,Grammont & Alamont
Alamont,1900,46.35103569334307,6.832081554594534,Summer,Hike,,14.4,5,1150.0,Grammont_&_Alamont,Aravis,Grammont & Alamont
Signal des Voirons,1457,46.23065551037012,6.355090281154984,Summer,Ski,,1.8,0.5,120.0,Signal_des_Voirons,Aravis,Signal des Voirons
Tour d'Ai,2331,46.37235154385177,7.001974469266802,Summer,Hike,,11.7,3.3,761.0,f,Aravis,f
Tour d'Ai,2331,46.37235154385178,7.001974469266803,Autumn,Ski,,9.8,2.5,607.0,Tour_d_Ai,Aravis,Tour d Ai
Tour de Mayen,2326,46.37596167746993,7.007787258733385,Summer,Ski,,14.15,3.8,733.0,Tour_de_Mayen,Proxima,Tour de Mayen
Tour de Mayen,2326,46.37596167746994,7.007787258733386,Summer,Hike,,13.4,4.18,659.0,Tour_de_Mayen_Famelon,Proxima,Tour de Mayen Famelon
Tour de Famelon,2138,46.38371985956815,7.02338286743082,Summer,Hike,,13.4,4.18,659.0,Tour_de_Mayen_Famelon,Proxima,Tour de Mayen Famelon
Le Truex,2194,46.38238765931213,7.01321193084642,Summer,Hike,,13.4,4.18,659.0,Tour_de_Mayen_Famelon,Proxima,Tour de Mayen Famelon
Rochers de Naye,2042,46.43197738637657,6.9759908161325965,Summer,Hike,,11.8,3.1,807.0,f,Proxima,f
Rochers de Naye,2042,46.43197738637658,6.9759908161325965,Summer,Trail running,,10.3,1.7,913.0,f,Proxima,f
Dent de Jaman,1875,46.44530584170046,6.974649939418076,Summer,Trail running,,10.3,1.7,913.0,f,Proxima,f
Dent de Jaman,1875,46.44530584170047,6.974649939418077,Winter,Snow Hike,,7.1,3,825.0,f,Proxima,f
Dent de Jaman,1875,46.44530584170048,6.974649939418078,Summer,Hike,,11.2,4.5,1243.0,f,Proxima,f
Dent de Hautaudon,1871,46.44510169347598,6.988155367487896,Summer,Hike,,11.2,4.5,1243.0,f,Proxima,f
Cape au Moine,1941,46.47076308986559,6.978799822444015,Summer,Hike,,17.5,4.8,1129.0,f,Proxima,f
Vanil des Artses,1992,46.4829490968863,6.987435774932586,Winter,Snow Hike,,9.1,4,1024.0,f,Proxima,f
Col de Lys,1779,46.502648861460585,6.991931605639442,Winter,Ski,,9.5,3,741.0,f,Proxima,f
Lys Derrey,1864,,,Winter,Ski,,8.3,2.5,767.0,f,Proxima,f
