Status,Name,Altitude [m],Summit Latitude,Summit Longitude,Season,Type,Grade,Distance [km],Duration [h],Elevation Gain [m],GPX File,Project
,Dent d'oche,2222,46.3529787,6.7313182,Autumn,Hike,T4,14,5.3,1180,Dent_d'Oche,Proxima
,Cornette de Bise,2432,46.332592,6.784591,Summer,Hike,T2,16.8,4.9,1362,Les_Cornettes_de_Bise,Proxima
,Mont Gardy,2201,46.350235,6.79945,Summer,Hike,T5/F,14.7,6,1450,Grande_Jumelle_&_Mont_Gardy,Proxima
,Grande Jumelle,2215,46.35233,6.814068,Summer,Hike,T5/F,14.7,6,1450,Grande_Jumelle_&_Mont_Gardy,Proxima
,Grande Jumelle,2215,46.35233,6.814068,Autumn,Hike,F,10.3,3.3,994,Grande_Jumelle,Proxima
to do,Petite Jumelle,2182,46.353019,6.815163,,,,,,,,Proxima
,Grammont,2172,46.357423,6.821187,Winter,Hike,T2,13.6,4.1,1105,Grammont,Proxima
,Grammont,2172,46.357423,6.821187,Summer,Hike,T2,14.4,5,1150,Grammont_&_Alamont,Proxima
,Alamont,1900,46.35106,6.832964,Summer,Hike,T2,14.4,5,1150,Grammont_&_Alamont,Proxima
,Signal des Voirons,1457,46.2298694,6.3549317,Summer,Hike,T1,1.8,0.5,120,Signal_des_Voirons,Proxima
,Tour d'Aï,2331,46.372104,7.001968,Autumn,Hike,T3,9.8,2.5,607,Tour_d_Ai,Proxima
,Tour d'Aï,2331,46.372104,7.001968,Summer,Hike,T3,11.7,3.3,761,,Proxima
,Tour de Mayen,2326,46.374658,7.008282,Summer,Hike,T3,14.15,3.8,733,Tour_de_Mayen,Proxima
,Tour de Mayen,2326,46.374658,7.008282,Summer,Hike,T2,13.4,4.18,659,Tour_de_Mayen_Famelon,Proxima
,Tour de Famelon,2138,46.383233,7.023833,Summer,Hike,T2,13.4,4.18,659,Tour_de_Mayen_Famelon,Proxima
,Les Truex,2194,46.379607,7.013075,Summer,Hike,T2,13.4,4.18,659,Tour_de_Mayen_Famelon,Proxima
,Rochers de Naye,2042,46.431824,6.976052,Summer,Hike,T2,11.8,3.1,807,Rochers_de_Naye,Proxima
,Rochers de Naye,2042,46.431824,6.976052,Summer,Trail running,T3,10.3,1.7,913,Dent_de_Jaman_Rochers_de_Naye,Proxima
,Dent de Jaman,1875,46.44496,6.974797,Summer,Trail running,T3,10.3,1.7,913,Dent_de_Jaman_Rochers_de_Naye,Proxima
,Dent de Jaman,1875,46.44496,6.974797,Winter,Hike,T3,7.1,3,825,Dent_de_Jaman,Proxima
,Dent de Jaman,1875,46.44496,6.974797,Summer,Hike,T3,11.2,4.5,1243,Dent_de_Hautadon_&_Jaman,Proxima
,Dent de Hautadon,1871,46.44506,6.988643,Summer,Hike,T3,11.2,4.5,1243,Dent_de_Hautadon_&_Jaman,Proxima
,Cape au Moine,1941,46.470358,6.978882,Summer,Hike,T4,17.5,4.8,1129,Cape_au_Moine,Proxima
,Vanil des Artses,1992,46.4823208,6.9873005,Winter,Hike,T5,9.1,4,1024,Vanil_des_Artses,Proxima
,Col de Lys,1779,46.5019215,6.6901312,Winter,Ski,3.3 / E1 AD / S4,9.5,3,741,Col_de_Lys,Proxima
,Lys Derrey,1864,46.503865,6.9917035,Winter,Ski,3.3 / E1 AD / S4,8.3,2.5,767,Col_de_Lys_&_Lys_Derrey,Proxima
,Dent de Lys,2014,46.507679,7.003036,Summer,Hike,T4,14,3.7,1336,Dent_de_Lys,Proxima
to do,Grand Sex,1907,46.511655,7.012665,,,,,,,,Proxima
,Petit Sex,1880,46.51341449,7.013808064,Spring,Hike,T4,11.7,6,1190,Vanil_de_l'Arche_Vanil Blanc_&_Petit Sex,Proxima
,Vanil Blanc,1828,46.517758,7.017984,Spring,Hike,T3,11.7,6,1190,Vanil_de_l'Arche_Vanil Blanc_&_Petit Sex,Proxima
